"","Ctrl2","Ctrl8","P18","P19","P20","P21","P22","P23"
"ZMYM1",33.6816529423375,21.9817500110833,7.80750581284566,11.159553112943,7.91994209884754,21.1456023720236,29.6307603255498,19.7100345000966
"H4C3",137.304289290447,135.695033722264,50.7487877834968,100.435978016487,158.398841976951,222.516800345602,132.508760175859,141.724533786409
"ZSCAN26",32.3068915977523,16.4863125083125,9.75938226605707,6.4607939074933,11.3849167670933,13.6633123019229,19.4377787735607,17.8328883572303
"MAFG",15.981600630803,71.8634134977723,2.43984556651427,151.534984375752,40.0947068754157,1.62658479784797,37.453281051495,27.6879056072786
"ARRDC1",12.2010069331937,68.9043317655111,59.0442627096453,70.4813880817451,26.7298045836104,2.27721871698716,35.082820225451,22.5257537143961
"IGF2R",16.1534457988761,22.4044759728349,56.604417143131,101.610667817849,27.2248009647884,22.7721871698716,22.2823317648135,86.3487225718518
"GAL3ST4",2.06214201687781,8.87724519678364,0,16.4456572190738,24.2548226777206,0.975950878708781,23.4675621778355,2.34643267858293
"DYNC1H1",48.8040277327747,89.6179038913396,251.792062464272,244.335478683383,112.859174908577,45.2190573801735,75.3806542681987,168.004579786538
"PCBP2",306.5717798425,176.69945201217,111.256957833051,190.299747820712,204.92850180768,243.987719677195,135.82740533232,174.57459128657
"SLC25A29",2.74952268917041,3.80453365576442,15.6150116256913,6.4607939074933,11.3849167670933,0,17.3043640301211,11.7321633929147
"PGAP1",27.1515365555578,36.3544327106377,0,34.0660042395101,0.494996381177971,26.0253567655675,29.8678064081542,6.10072496431562
"SRC",2.57767752109726,4.22725961751602,33.6698688178969,5.87344900681209,8.41493848002551,5.85570527225269,0,40.3586420716264
"ZNF682",14.0913037819983,17.7544903935673,19.5187645321141,10.5722082122618,22.2748371530087,24.0734550081499,17.3043640301211,7.50858457146538
"ZNF772",45.1952792032386,21.5590240493317,7.80750581284566,1.76203470204363,30.1947792518563,17.5671158167581,11.3782119650111,20.1793210358132
"ZNF257",48.1166470604821,2.95908173226121,0,9.98486331158055,4.94996381177971,21.1456023720236,0,5.16215189288245
"PCNX3",28.1826075639967,106.949668323155,70.2675523156109,115.706945434198,80.6844101320093,13.9886292614925,35.5569123906598,90.5723013933011
"ACSL5",91.0779390787698,54.9543750277082,32.6939305912912,77.5295268899196,55.4395946919328,91.0887486794862,37.6903271340994,48.8057997145249
"LRRC8B",108.606146222231,82.0088365798107,33.6698688178969,22.3191062258859,43.0646851624835,38.0620842696425,11.8523041302199,41.2972151430596
"ABCB8",14.2631489500715,63.4088942627403,10.7353204926628,39.352108345641,16.829876960051,3.57848655526553,0,19.24074796438
"SND1",73.5497319353084,140.345019301532,283.022085715655,152.122329276433,196.018566946477,48.1469100162999,176.362285457672,157.680276000773
"ZNF785",3.78059369760931,5.07271154101922,0,29.3672450340604,7.42494571766957,4.87975439354391,11.6152580476155,10.3243037857649
"NEK5",4.46797436990191,7.60906731152883,0.975938226605707,2.93672450340604,5.44496019295768,0.325316959569594,0,1.40785960714976
"PSMD12",155.863567442347,117.095091405194,185.428263055084,116.294290334879,79.6944173696534,257.976348938688,105.959598924166,140.316674179259
"NOL4L",109.465372062597,80.3179327328043,73.195366995428,190.299747820712,95.5343015673485,42.9418386631864,96.951847785199,75.5551322503703
"SLC22A4",10.9980907566816,0,61.4841082761595,11.159553112943,51.974620023687,9.75950878708781,30.341898573363,1.40785960714976
"ENTPD4",78.1895514732835,32.9726250166249,144.438857537645,85.7523554994565,84.1493848002551,164.935698501784,182.051391440178,103.243037857649
"C1D",107.746920381865,42.2725961751602,56.1164480298282,62.8459043728893,49.0046417366192,165.911649380493,42.4312487861873,48.8057997145249
"TBC1D9B",2.92136785724356,6.76361538802563,24.8864247784455,0.587344900681209,3.4649746682458,1.62658479784797,4.97796773469237,22.5257537143961
"TPSB2",20.6214201687781,11.4136009672932,7.80750581284566,0.587344900681209,106.919218334442,0,30.1048524907586,46.459367035942
"KANK2",13.0602327735594,24.9408317433445,115.648679852776,15.8583123183926,82.1693992755432,30.2544772399722,76.3288385986163,26.7493325358454
"GTF2E2",30.2447495808745,35.9317067488861,26.3503321183541,17.6203470204363,26.7298045836104,14.3139462210621,43.1423870340005,30.9729113572947
"ZNF165",9.45148424402328,9.29997115853524,8.29547492614851,0,0.989992762355943,3.25316959569594,0,10.3243037857649
"FITM2",2.57767752109726,19.8681202023253,9.27141315275422,6.4607939074933,0,6.18102223182228,2.37046082604399,27.218619071562
"BLM",26.9796913874846,49.881663486689,0,28.7799001333792,41.5796960189496,30.9051111591114,44.3276174470225,103.243037857649
"KRBOX5",26.6360010513383,19.4453942405737,15.1270425123885,18.2076919211175,70.2894861272719,35.4595485930857,31.7641750689894,11.2628768571981
"DDI2",150.192676895934,219.817500110833,105.401328473416,133.327292454634,142.063961398078,93.0406504369038,46.4610321904621,120.606639679163
"SVIL",33.8534981104106,42.2725961751602,21.9586100986284,5.87344900681209,57.4195802166447,30.9051111591114,41.4830644557697,20.6486075715298
"TRIM33",296.089224590038,183.885793361947,53.6766024633139,458.716367432024,164.833794932264,297.339701046609,110.46347449365,286.734073322834
"LRP10",12.3728521012668,27.0544615521025,156.150116256913,35.2406940408725,259.378103737257,16.2658479784797,91.9738800505066,35.6657767144605
"PELI1",78.3613966413566,41.0044182899054,446.491738672111,130.390567951228,47.5196525930852,68.6418784691843,79.1733915898691,59.5993900360064
