gene_symbol,logFC,logCPM,F,PValue,FDR
HBB,3.685489886775506,13.28920224900172,11.21375453284396,0.0035093620995114965,0.32961732372905783
EDEM1,1.8171965903695173,7.893369059584775,11.213655828414549,0.0035113563576709248,0.32961732372905783
AKAP12,4.998284012644096,6.589074781171817,11.060011170249084,0.00357804859121434,0.3330314209941279
POU2AF1,3.6796323673426787,5.097724557054143,10.994278515927032,0.0036368827600507885,0.3334020734768052
CD3E,4.582116370799281,4.251225151818513,10.901349433557353,0.0036427432229096447,0.3334020734768052
AKR1C1,-3.0635712171841374,3.2016287752437713,10.30120329787766,0.0036817661231805716,0.3341887382718365
GIPC2,-4.121146476124449,2.2246828013259794,10.553170808063893,0.003724559634419299,0.3353019546297308
TESPA1,-1.9384779595022845,6.1203026456492875,11.018141646763954,0.0037649852016651557,0.33618562983649114
IGLL1,2.7616635906920948,8.537134979792553,10.964775234397367,0.0038155001994136595,0.33794869911419534
GAS7,2.6786578965078847,5.594642200323888,10.89849931520004,0.0038940089725094163,0.33907541397553803
DNTT,2.2633466156924618,9.761236556160322,10.890538963548353,0.0039102484399829085,0.33907541397553803
SKIC2,3.969709147140256,4.48941082149401,10.66223261573413,0.0039366893198144095,0.33907541397553803
NDN,-3.2332946578181923,3.3165141638897833,10.099461408428137,0.003951712008455692,0.33907541397553803
HNRNPLL,-2.700055903819554,4.876233144584268,10.758429981153373,0.003989541147475441,0.3396676776955253
EHD2,-4.006440628693175,2.363322282761822,10.243777399977112,0.0040423883639246145,0.3415196261614157
CAVIN1,-2.849808167782401,5.195050839144929,10.67720439958351,0.004135527915137141,0.34409231239915455
EEF1AKMT3,-2.587322985050765,3.5062027638803315,10.278265588539854,0.004144254890840572,0.34409231239915455
ACKR3,-4.193026530871205,1.8740788386547997,10.543303815712981,0.004216791228530061,0.34409231239915455
IRF4,2.938012284305797,8.136158350845822,10.66440107093307,0.004224095314049499,0.34409231239915455
ACSL6,9.068089310369848,4.177222046591293,10.838271496102236,0.004229487587533995,0.34409231239915455
LDLRAD3,-5.61476446415294,1.5962126881812837,11.48210079197952,0.004265631505458532,0.3444811090033166
LRAT,-6.204477226959529,1.453368862101401,11.60210432663768,0.004317838493472059,0.3461519720715593
BPGM,5.674590727494799,9.565065289379442,10.571580317221994,0.0043585232279222,0.3468815986396342
TRAF4,3.466876224645089,5.050084809529979,10.41322165172495,0.004463553367100411,0.348960620423861
C9orf43,-2.6721374191197316,3.8889467326451888,10.20483288429307,0.004471816819176736,0.348960620423861
SH3BGRL2,-2.9592251873433386,3.50654096011416,9.927813790352172,0.004506364399566419,0.348960620423861
RBM38,3.608595517776431,7.768569254607148,10.471947698162236,0.004511737057287468,0.348960620423861
UHRF1,1.8104287600207194,8.666052236506443,10.394049263320264,0.0046300898604312345,0.3515947967461526
TCP11L2,3.0971634577894243,5.88109006351542,10.375283671731479,0.0046441037373039906,0.3515947967461526
OSBPL10,2.9671580356966927,5.622475192160376,10.370957909116635,0.004646909266648896,0.3515947967461526
CORO1A,2.195679863997502,7.759044679524317,10.368318014341073,0.004673845062818746,0.3515947967461526
